Date,WD,value
10/21/10,2560,A:e
10/22/10,2500,A:e
10/23/10,2530,A:e
10/24/10,2510,A:e
10/25/10,2520,A:e
10/26/10,2470,A:e
10/27/10,2750,A:e
10/28/10,3180,A:e
10/29/10,3970,A:e
10/30/10,4910,A:e
10/31/10,4270,A:e
11/1/10,3190,A:e
11/2/10,3840,A:e
11/3/10,4160,A:e
11/4/10,4600,A:e
11/5/10,6400,A:e
11/6/10,8530,A:e
11/7/10,7850,A:e
11/8/10,7150,A:e
11/9/10,6190,A:e
11/10/10,6170,A:e
11/11/10,6870,A:e
11/12/10,5990,A:e
11/13/10,4970,A:e
11/14/10,4430,A:e
11/15/10,4250,A:e
11/16/10,4530,A:e
11/17/10,4990,A:e
11/18/10,6050,A:e
11/19/10,6070,A:e
11/20/10,5870,A:e
11/21/10,5860,A:e
11/22/10,5740,A:e
11/23/10,5430,A:e
11/24/10,5120,A:e
11/25/10,5240,A:e
11/26/10,5560,A:e
11/27/10,6010,A:e
11/28/10,6530,A:e
11/29/10,6580,A:e
11/30/10,6910,A:e
12/1/10,31000,A:e
12/2/10,41500,A
12/3/10,53100,A
12/4/10,28700,A
12/5/10,20100,A
12/6/10,16800,A
12/7/10,10700,A
12/8/10,10800,A
12/9/10,6340,A:e
12/10/10,5500,A:e
12/11/10,5390,A:e
12/12/10,6960,A:e
12/13/10,11700,A:e
12/14/10,11100,A:e
12/15/10,9790,A:e
12/16/10,9370,A:e
12/17/10,7380,A:e
12/18/10,6690,A:e
12/19/10,6710,A:e
12/20/10,6990,A:e
12/21/10,6970,A:e
12/22/10,7870,A:e
12/23/10,7750,A:e
12/24/10,7690,A:e
12/25/10,5700,A:e
12/26/10,5590,A:e
12/27/10,5730,A:e
12/28/10,5720,A:e
12/29/10,7100,A:e
12/30/10,6970,A:e
12/31/10,7240,A:e
1/1/11,13900,A:e
1/2/11,25500,A
1/3/11,30500,A
1/4/11,29200,A
1/5/11,25700,A
1/6/11,22300,A
1/7/11,13800,A
1/8/11,13000,A
1/9/11,13700,A
1/10/11,7030,A:e
1/11/11,5840,A:e
1/12/11,5790,A:e
1/13/11,5510,A:e
1/14/11,5710,A:e
1/15/11,5310,A:e
1/16/11,5640,A:e
1/17/11,5530,A:e
1/18/11,5610,A:e
1/19/11,8170,A:e
1/20/11,13100,A:e
1/21/11,11900,A:e
1/22/11,10600,A:e
1/23/11,9160,A:e
1/24/11,7490,A:e
1/25/11,6940,A:e
1/26/11,9390,A:e
1/27/11,14600,A
1/28/11,15400,A
1/29/11,11000,A:e
1/30/11,12700,A
1/31/11,14500,A
2/1/11,14100,A
2/2/11,22600,A
2/3/11,30500,A
2/4/11,35300,A
2/5/11,29700,A
2/6/11,23300,A
2/7/11,18400,A
2/8/11,16500,A
2/9/11,16000,A
2/10/11,12300,A
2/11/11,10000,A
2/12/11,8720,A:e
2/13/11,7960,A:e
2/14/11,7410,A:e
2/15/11,7760,A:e
2/16/11,8260,A:e
2/17/11,7920,A:e
2/18/11,8450,A:e
2/19/11,11800,A:e
2/20/11,13700,A:e
2/21/11,15200,A
2/22/11,13800,A
2/23/11,18200,A
2/24/11,16400,A
2/25/11,24700,A
2/26/11,33800,A
2/27/11,37300,A
2/28/11,38400,A
3/1/11,56200,A
3/2/11,63400,A
3/3/11,57600,A
3/4/11,35700,A
3/5/11,25500,A
3/6/11,33500,A
3/7/11,73400,A
3/8/11,91900,A
3/9/11,72500,A
3/10/11,70700,A
3/11/11,85300,A
3/12/11,77000,A:e
3/13/11,62100,A
3/14/11,45500,A
3/15/11,42600,A
3/16/11,38900,A
3/17/11,34400,A
3/18/11,28600,A
3/19/11,27000,A
3/20/11,26400,A
3/21/11,25700,A
3/22/11,23800,A
3/23/11,29000,A:e
3/24/11,34000,A:e
3/25/11,44000,A:e
3/26/11,42000,A:e
3/27/11,34600,A
3/28/11,26900,A
3/29/11,21900,A
3/30/11,16800,A:e
3/31/11,15500,A
4/1/11,15900,A
4/2/11,16400,A
4/3/11,15800,A:e
4/4/11,16000,A:e
4/5/11,26000,A:e
4/6/11,45400,A
4/7/11,49500,A
4/8/11,36900,A
4/9/11,32500,A
4/10/11,53700,A
4/11/11,57500,A
4/12/11,47200,A
4/13/11,37600,A
4/14/11,53100,A
4/15/11,42800,A
4/16/11,31900,A
4/17/11,50000,A:e
4/18/11,55700,A
4/19/11,58500,A
4/20/11,39300,A
4/21/11,25900,A
4/22/11,20300,A
4/23/11,22900,A:e
4/24/11,25500,A
